Release date,Last Updated,CVE Number,CVE Title,CVE Link,MRSC Link,Impact,Max Severity,Tag,Vector String,Mitigations,Workarounds
10-Oct-23,10-Oct-23,CVE-2023-36566,Microsoft Common Data Model SDK Denial of Service Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-36566,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36566,Denial of Service,Critical,Microsoft Common Data Model SDK,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C,,
10-Oct-23,10-Oct-23,CVE-2023-38166,Layer 2 Tunneling Protocol Remote Code Execution Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-38166,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-38166,Remote Code Execution,Critical,Windows Layer 2 Tunneling Protocol,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,,
10-Oct-23,10-Oct-23,CVE-2023-36697,Microsoft Message Queuing Remote Code Execution Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-36697,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36697,Remote Code Execution,Critical,Windows Message Queuing,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,,
10-Oct-23,10-Oct-23,CVE-2023-36718,Microsoft Virtual Trusted Platform Module Remote Code Execution Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-36718,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36718,Remote Code Execution,Critical,Windows Virtual Trusted Platform Module,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H/E:U/RL:O/RC:C,,
10-Oct-23,10-Oct-23,CVE-2023-41774,Layer 2 Tunneling Protocol Remote Code Execution Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-41774,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-41774,Remote Code Execution,Critical,Windows Layer 2 Tunneling Protocol,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,,
10-Oct-23,10-Oct-23,CVE-2023-41773,Layer 2 Tunneling Protocol Remote Code Execution Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-41773,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-41773,Remote Code Execution,Critical,Windows Layer 2 Tunneling Protocol,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,,
10-Oct-23,10-Oct-23,CVE-2023-41771,Layer 2 Tunneling Protocol Remote Code Execution Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-41771,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-41771,Remote Code Execution,Critical,Windows Layer 2 Tunneling Protocol,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,,
10-Oct-23,10-Oct-23,CVE-2023-41770,Layer 2 Tunneling Protocol Remote Code Execution Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-41770,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-41770,Remote Code Execution,Critical,Windows Layer 2 Tunneling Protocol,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,,
10-Oct-23,10-Oct-23,CVE-2023-41769,Layer 2 Tunneling Protocol Remote Code Execution Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-41769,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-41769,Remote Code Execution,Critical,Windows Layer 2 Tunneling Protocol,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,,
10-Oct-23,10-Oct-23,CVE-2023-41768,Layer 2 Tunneling Protocol Remote Code Execution Vulnerability,https://www.cve.org/CVERecord?id=CVE-2023-41768,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-41768,Remote Code Execution,Critical,Windows Layer 2 Tunneling Protocol,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,,
